participant,task,step,x0,x1,x2,x3,choice,target,time
0,21,3,-0.78,-0.31,0.48,-0.74,1,1,1955109.00
0,21,4,1.15,-1.71,0.97,0.20,0,1,1960090.00
0,21,5,0.56,-0.89,1.49,-0.83,1,1,1966396.00
0,21,6,0.81,-1.16,0.39,-0.26,1,1,1981176.00
0,21,7,4.57,-2.17,0.91,1.76,1,0,1988468.00
0,21,8,3.52,-2.77,1.75,0.82,1,0,1998000.00
0,21,9,0.38,-1.44,-1.28,-0.75,1,1,2001952.00
0,22,0,-1.26,-0.35,-2.08,1.46,0,1,2014063.00
0,22,1,-0.45,-1.22,-0.60,1.64,1,1,2018094.00
0,22,2,0.92,-0.49,-0.58,1.75,0,1,2022033.00
0,22,3,-0.76,-0.21,-0.69,-1.13,0,1,2028292.00
0,22,4,-2.22,0.83,-0.98,2.00,0,1,2031771.00
0,22,5,1.44,0.48,0.26,0.30,0,0,2038895.00
0,22,6,-1.75,-0.84,-0.80,-2.49,1,0,2043088.00
0,22,7,-1.31,0.85,-0.55,0.11,0,1,2049919.00
0,22,8,-0.32,-0.65,-1.12,1.19,0,1,2055656.00
0,22,9,-1.62,1.59,0.32,-1.69,0,0,2059603.00
0,23,0,1.21,1.33,-1.24,-2.55,0,0,2068510.00
0,23,1,-0.02,-0.32,-0.66,0.31,1,0,2072691.00
0,23,2,0.24,-0.74,2.71,-1.57,0,0,2079352.00
0,23,3,-0.67,0.43,-1.97,2.87,1,1,2083453.00
0,23,4,-1.17,-0.94,0.27,0.48,0,1,2092238.00
0,23,5,-2.51,1.45,-0.21,0.30,1,1,2100808.00
0,23,6,-1.41,-1.18,0.89,-0.83,0,0,2110899.00
0,23,7,-4.14,-0.40,0.25,0.92,0,1,2124693.00
0,23,8,0.28,-0.99,0.47,0.10,1,0,2130762.00
0,23,9,-0.64,0.27,1.62,-1.05,0,0,2137789.00
0,24,0,-0.34,1.12,-1.42,0.67,0,0,2151294.00
0,24,1,-0.29,0.31,-1.31,-0.67,0,0,2155583.00
0,24,2,0.23,1.07,-2.64,-0.28,1,0,2163028.00
0,24,3,-0.69,-1.58,0.36,-1.92,1,1,2167669.00
0,24,4,-2.83,-2.51,0.20,-1.93,1,1,2171185.00
0,24,5,1.81,-0.09,1.41,0.23,1,1,2174727.00
0,24,6,-1.24,-2.13,0.49,-2.34,1,1,2178569.00
0,24,7,0.48,-0.46,0.81,0.40,1,1,2182389.00
0,24,8,2.99,2.19,0.83,1.64,0,1,2186604.00
0,24,9,-4.16,-2.35,-0.24,-0.73,1,0,2190654.00
0,25,0,1.42,-0.40,-0.03,0.61,0,1,2198775.00
0,25,1,1.03,0.85,0.37,-1.14,1,1,2204040.00
0,25,2,0.42,-0.20,-1.13,2.36,0,0,2251141.00
0,25,3,-0.28,2.12,-2.28,2.05,1,1,2259721.00
0,25,4,-1.38,0.14,0.09,-1.39,1,0,2263501.00
0,25,5,-0.78,-3.50,1.01,0.89,1,0,2267597.00
0,25,6,1.56,3.27,0.77,-0.68,1,1,2271182.00
0,25,7,1.51,-0.12,1.39,-2.13,0,1,2276527.00
0,25,8,-0.11,1.27,0.29,-1.72,1,1,2283274.00
